Consumo;Dia;Mes;Año;DiaSemana;Feriado
691;11;4;1996;Jueves;0
660;12;4;1996;Viernes;0
668;13;4;1996;Sábado;0
644;14;4;1996;Domingo;1
702;15;4;1996;Lunes;0
703;16;4;1996;Martes;0
701;17;4;1996;Miércoles;0
768;18;4;1996;Jueves;0
728;19;4;1996;Viernes;0
704;20;4;1996;Sábado;0
657;21;4;1996;Domingo;1
781;22;4;1996;Lunes;0
774;23;4;1996;Martes;0
736;24;4;1996;Miércoles;0
737;25;4;1996;Jueves;0
773;26;4;1996;Viernes;0
740;27;4;1996;Sábado;0
686;28;4;1996;Domingo;1
806;29;4;1996;Lunes;0
768;30;4;1996;Martes;0
680;1;5;1996;Miércoles;1
796;2;5;1996;Jueves;0
799;3;5;1996;Viernes;0
733;4;5;1996;Sábado;0
680;5;5;1996;Domingo;1
732;6;5;1996;Lunes;0
774;7;5;1996;Martes;0
783;8;5;1996;Miércoles;0
811;9;5;1996;Jueves;0
813;10;5;1996;Viernes;0
747;11;5;1996;Sábado;0
680;12;5;1996;Domingo;1
766;13;5;1996;Lunes;0
748;14;5;1996;Martes;0
746;15;5;1996;Miércoles;0
739;16;5;1996;Jueves;0
791;17;5;1996;Viernes;0
866;18;5;1996;Sábado;0
816;19;5;1996;Domingo;1
842;20;5;1996;Lunes;0
749;21;5;1996;Martes;1
828;22;5;1996;Miércoles;0
753;23;5;1996;Jueves;0
761;24;5;1996;Viernes;0
677;25;5;1996;Sábado;0
635;26;5;1996;Domingo;1
682;27;5;1996;Lunes;0
830;28;5;1996;Martes;0
848;29;5;1996;Miércoles;0
743;30;5;1996;Jueves;0
685;31;5;1996;Viernes;1
618;1;6;1996;Sábado;0
652;2;6;1996;Domingo;1
747;3;6;1996;Lunes;0
819;4;6;1996;Martes;0
881;5;6;1996;Miércoles;0
779;6;6;1996;Jueves;0
851;7;6;1996;Viernes;0
849;8;6;1996;Sábado;0
836;9;6;1996;Domingo;1
901;10;6;1996;Lunes;0
920;11;6;1996;Martes;0
963;12;6;1996;Miércoles;0
979;13;6;1996;Jueves;0
967;14;6;1996;Viernes;0
900;15;6;1996;Sábado;0
895;16;6;1996;Domingo;1
962;17;6;1996;Lunes;0
997;18;6;1996;Martes;0
913;19;6;1996;Miércoles;0
997;20;6;1996;Jueves;1
962;21;6;1996;Viernes;0
897;22;6;1996;Sábado;0
865;23;6;1996;Domingo;1
956;24;6;1996;Lunes;0
975;25;6;1996;Martes;0
1003;26;6;1996;Miércoles;0
914;27;6;1996;Jueves;0
894;28;6;1996;Viernes;0
765;29;6;1996;Sábado;1
777;30;6;1996;Domingo;1
911;1;7;1996;Lunes;0
930;2;7;1996;Martes;0
943;3;7;1996;Miércoles;0
953;4;7;1996;Jueves;0
979;5;7;1996;Viernes;0
937;6;7;1996;Sábado;0
874;7;7;1996;Domingo;1
897;8;7;1996;Lunes;0
879;9;7;1996;Martes;0
894;10;7;1996;Miércoles;0
897;11;7;1996;Jueves;0
921;12;7;1996;Viernes;0
890;13;7;1996;Sábado;0
806;14;7;1996;Domingo;1
842;15;7;1996;Lunes;0
812;16;7;1996;Martes;1
824;17;7;1996;Miércoles;0
819;18;7;1996;Jueves;0
903;19;7;1996;Viernes;0
835;20;7;1996;Sábado;0
672;21;7;1996;Domingo;1
777;22;7;1996;Lunes;0
814;23;7;1996;Martes;0
829;24;7;1996;Miércoles;0
774;25;7;1996;Jueves;0
818;26;7;1996;Viernes;0
796;27;7;1996;Sábado;0
715;28;7;1996;Domingo;1
877;29;7;1996;Lunes;0
936;30;7;1996;Martes;0
953;31;7;1996;Miércoles;0
945;1;8;1996;Jueves;0
889;2;8;1996;Viernes;0
838;3;8;1996;Sábado;0
779;4;8;1996;Domingo;1
928;5;8;1996;Lunes;0
912;6;8;1996;Martes;0
912;7;8;1996;Miércoles;0
882;8;8;1996;Jueves;0
908;9;8;1996;Viernes;0
883;10;8;1996;Sábado;0
864;11;8;1996;Domingo;1
882;12;8;1996;Lunes;0
893;13;8;1996;Martes;0
865;14;8;1996;Miércoles;0
827;15;8;1996;Jueves;1
956;16;8;1996;Viernes;0
853;17;8;1996;Sábado;0
792;18;8;1996;Domingo;1
875;19;8;1996;Lunes;0
850;20;8;1996;Martes;0
927;21;8;1996;Miércoles;0
886;22;8;1996;Jueves;0
897;23;8;1996;Viernes;0
890;24;8;1996;Sábado;0
843;25;8;1996;Domingo;1
773;26;8;1996;Lunes;0
763;27;8;1996;Martes;0
777;28;8;1996;Miércoles;0
766;29;8;1996;Jueves;0
783;30;8;1996;Viernes;0
790;31;8;1996;Sábado;0
762;1;9;1996;Domingo;1
815;2;9;1996;Lunes;0
864;3;9;1996;Martes;0
836;4;9;1996;Miércoles;0
868;5;9;1996;Jueves;0
810;6;9;1996;Viernes;0
795;7;9;1996;Sábado;0
774;8;9;1996;Domingo;1
795;9;9;1996;Lunes;0
841;10;9;1996;Martes;0
746;11;9;1996;Miércoles;0
810;12;9;1996;Jueves;0
839;13;9;1996;Viernes;0
814;14;9;1996;Sábado;0
760;15;9;1996;Domingo;1
706;16;9;1996;Lunes;0
659;17;9;1996;Martes;0
595;18;9;1996;Miércoles;1
594;19;9;1996;Jueves;1
641;20;9;1996;Viernes;0
698;21;9;1996;Sábado;1
646;22;9;1996;Domingo;1
715;23;9;1996;Lunes;0
651;24;9;1996;Martes;0
569;25;9;1996;Miércoles;0
583;26;9;1996;Jueves;0
564;27;9;1996;Viernes;0
595;28;9;1996;Sábado;0
641;29;9;1996;Domingo;1
675;30;9;1996;Lunes;0
731;1;10;1996;Martes;0
762;2;10;1996;Miércoles;0
665;3;10;1996;Jueves;0
720;4;10;1996;Viernes;0
711;5;10;1996;Sábado;0
696;6;10;1996;Domingo;1
792;7;10;1996;Lunes;0
768;8;10;1996;Martes;0
701;9;10;1996;Miércoles;0
663;10;10;1996;Jueves;0
689;11;10;1996;Viernes;0
719;12;10;1996;Sábado;1
624;13;10;1996;Domingo;1
671;14;10;1996;Lunes;0
668;15;10;1996;Martes;0
747;16;10;1996;Miércoles;0
787;17;10;1996;Jueves;0
797;18;10;1996;Viernes;0
773;19;10;1996;Sábado;0
685;20;10;1996;Domingo;1
716;21;10;1996;Lunes;1
649;22;10;1996;Martes;0
696;23;10;1996;Miércoles;0
657;24;10;1996;Jueves;0
613;25;10;1996;Viernes;0
588;26;10;1996;Sábado;0
531;27;10;1996;Domingo;1
559;28;10;1996;Lunes;0
542;29;10;1996;Martes;0
549;30;10;1996;Miércoles;0
552;31;10;1996;Jueves;1
558;1;11;1996;Viernes;1
565;2;11;1996;Sábado;0
588;3;11;1996;Domingo;1
587;4;11;1996;Lunes;0
656;5;11;1996;Martes;0
677;6;11;1996;Miércoles;1
671;7;11;1996;Jueves;0
638;8;11;1996;Viernes;0
573;9;11;1996;Sábado;0
579;10;11;1996;Domingo;1
739;11;11;1996;Lunes;0
640;12;11;1996;Martes;0
705;13;11;1996;Miércoles;0
714;14;11;1996;Jueves;0
619;15;11;1996;Viernes;0
566;16;11;1996;Sábado;0
586;17;11;1996;Domingo;1
641;18;11;1996;Lunes;0
610;19;11;1996;Martes;0
609;20;11;1996;Miércoles;0
555;21;11;1996;Jueves;0
582;22;11;1996;Viernes;0
588;23;11;1996;Sábado;1
449;24;11;1996;Domingo;1
571;25;11;1996;Lunes;0
572;26;11;1996;Martes;0
618;27;11;1996;Miércoles;0
550;28;11;1996;Jueves;0
567;29;11;1996;Viernes;0
514;30;11;1996;Sábado;0
548;1;12;1996;Domingo;1
601;2;12;1996;Lunes;0
615;3;12;1996;Martes;0
529;4;12;1996;Miércoles;0
500;5;12;1996;Jueves;0
492;6;12;1996;Viernes;0
522;7;12;1996;Sábado;0
479;8;12;1996;Domingo;1
494;9;12;1996;Lunes;0
446;10;12;1996;Martes;0
445;11;12;1996;Miércoles;0
439;12;12;1996;Jueves;0
459;13;12;1996;Viernes;0
477;14;12;1996;Sábado;0
531;15;12;1996;Domingo;1
579;16;12;1996;Lunes;0
594;17;12;1996;Martes;0
504;18;12;1996;Miércoles;1
585;19;12;1996;Jueves;0
606;20;12;1996;Viernes;0
620;21;12;1996;Sábado;0
563;22;12;1996;Domingo;1
550;23;12;1996;Lunes;0
560;24;12;1996;Martes;0
502;25;12;1996;Miércoles;1
538;26;12;1996;Jueves;0
528;27;12;1996;Viernes;0
481;28;12;1996;Sábado;0
478;29;12;1996;Domingo;1
589;30;12;1996;Lunes;0
592;31;12;1996;Martes;0
396;1;1;1997;Miércoles;1
526;2;1;1997;Jueves;0
582;3;1;1997;Viernes;0
519;4;1;1997;Sábado;0
562;5;1;1997;Domingo;1
548;6;1;1997;Lunes;0
590;7;1;1997;Martes;0
531;8;1;1997;Miércoles;0
575;9;1;1997;Jueves;0
470;10;1;1997;Viernes;0
465;11;1;1997;Sábado;0
466;12;1;1997;Domingo;1
559;13;1;1997;Lunes;0
532;14;1;1997;Martes;0
529;15;1;1997;Miércoles;0
520;16;1;1997;Jueves;0
457;17;1;1997;Viernes;0
382;18;1;1997;Sábado;0
333;19;1;1997;Domingo;1
445;20;1;1997;Lunes;0
379;21;1;1997;Martes;0
385;22;1;1997;Miércoles;0
402;23;1;1997;Jueves;0
450;24;1;1997;Viernes;0
517;25;1;1997;Sábado;0
463;26;1;1997;Domingo;1
480;27;1;1997;Lunes;0
550;28;1;1997;Martes;0
548;29;1;1997;Miércoles;0
518;30;1;1997;Jueves;0
520;31;1;1997;Viernes;0
537;1;2;1997;Sábado;0
474;2;2;1997;Domingo;1
572;3;2;1997;Lunes;0
538;4;2;1997;Martes;0
579;5;2;1997;Miércoles;0
521;6;2;1997;Jueves;0
535;7;2;1997;Viernes;0
568;8;2;1997;Sábado;0
546;9;2;1997;Domingo;1
545;10;2;1997;Lunes;0
540;11;2;1997;Martes;0
463;12;2;1997;Miércoles;0
478;13;2;1997;Jueves;0
518;14;2;1997;Viernes;0
470;15;2;1997;Sábado;0
506;16;2;1997;Domingo;1
583;17;2;1997;Lunes;0
589;18;2;1997;Martes;0
552;19;2;1997;Miércoles;0
544;20;2;1997;Jueves;0
597;21;2;1997;Viernes;0
642;22;2;1997;Sábado;0
479;23;2;1997;Domingo;1
546;24;2;1997;Lunes;0
563;25;2;1997;Martes;0
494;26;2;1997;Miércoles;0
536;27;2;1997;Jueves;0
568;28;2;1997;Viernes;0
497;1;3;1997;Sábado;0
434;2;3;1997;Domingo;1
473;3;3;1997;Lunes;0
483;4;3;1997;Martes;0
523;5;3;1997;Miércoles;0
551;6;3;1997;Jueves;0
599;7;3;1997;Viernes;0
646;8;3;1997;Sábado;0
571;9;3;1997;Domingo;1
604;10;3;1997;Lunes;0
551;11;3;1997;Martes;0
565;12;3;1997;Miércoles;0
546;13;3;1997;Jueves;0
543;14;3;1997;Viernes;0
570;15;3;1997;Sábado;0
518;16;3;1997;Domingo;1
540;17;3;1997;Lunes;0
540;18;3;1997;Martes;0
658;19;3;1997;Miércoles;0
616;20;3;1997;Jueves;0
628;21;3;1997;Viernes;0
653;22;3;1997;Sábado;0
623;23;3;1997;Domingo;1
657;24;3;1997;Lunes;0
589;25;3;1997;Martes;0
565;26;3;1997;Miércoles;0
609;27;3;1997;Jueves;0
603;28;3;1997;Viernes;1
669;29;3;1997;Sábado;0
621;30;3;1997;Domingo;1
647;31;3;1997;Lunes;0
710;1;4;1997;Martes;0
742;2;4;1997;Miércoles;0
698;3;4;1997;Jueves;0
742;4;4;1997;Viernes;0
600;5;4;1997;Sábado;0
592;6;4;1997;Domingo;1
639;7;4;1997;Lunes;0
757;8;4;1997;Martes;0
778;9;4;1997;Miércoles;0
743;10;4;1997;Jueves;0
700;11;4;1997;Viernes;0
664;12;4;1997;Sábado;0
648;13;4;1997;Domingo;1
718;14;4;1997;Lunes;0
763;15;4;1997;Martes;0
822;16;4;1997;Miércoles;0
904;17;4;1997;Jueves;0
850;18;4;1997;Viernes;0
889;19;4;1997;Sábado;0
743;20;4;1997;Domingo;1
822;21;4;1997;Lunes;0
865;22;4;1997;Martes;0
800;23;4;1997;Miércoles;0
869;24;4;1997;Jueves;0
821;25;4;1997;Viernes;0
717;26;4;1997;Sábado;0
727;27;4;1997;Domingo;1
745;28;4;1997;Lunes;0
810;29;4;1997;Martes;0
905;30;4;1997;Miércoles;0
878;1;5;1997;Jueves;1
879;2;5;1997;Viernes;0
856;3;5;1997;Sábado;0
745;4;5;1997;Domingo;1
856;5;5;1997;Lunes;0
816;6;5;1997;Martes;0
770;7;5;1997;Miércoles;0
767;8;5;1997;Jueves;0
763;9;5;1997;Viernes;0
726;10;5;1997;Sábado;0
672;11;5;1997;Domingo;1
761;12;5;1997;Lunes;0
963;13;5;1997;Martes;0
971;14;5;1997;Miércoles;0
925;15;5;1997;Jueves;0
979;16;5;1997;Viernes;0
916;17;5;1997;Sábado;0
858;18;5;1997;Domingo;1
921;19;5;1997;Lunes;0
939;20;5;1997;Martes;0
845;21;5;1997;Miércoles;1
912;22;5;1997;Jueves;0
907;23;5;1997;Viernes;0
872;24;5;1997;Sábado;0
865;25;5;1997;Domingo;1
942;26;5;1997;Lunes;0
963;27;5;1997;Martes;0
934;28;5;1997;Miércoles;0
778;29;5;1997;Jueves;0
864;30;5;1997;Viernes;0
795;31;5;1997;Sábado;1
759;1;6;1997;Domingo;1
785;2;6;1997;Lunes;0
837;3;6;1997;Martes;0
900;4;6;1997;Miércoles;0
869;5;6;1997;Jueves;0
897;6;6;1997;Viernes;0
862;7;6;1997;Sábado;0
866;8;6;1997;Domingo;1
975;9;6;1997;Lunes;0
1019;10;6;1997;Martes;0
973;11;6;1997;Miércoles;0
964;12;6;1997;Jueves;0
938;13;6;1997;Viernes;0
911;14;6;1997;Sábado;0
827;15;6;1997;Domingo;1
891;16;6;1997;Lunes;0
885;17;6;1997;Martes;0
862;18;6;1997;Miércoles;0
898;19;6;1997;Jueves;0
865;20;6;1997;Viernes;1
903;21;6;1997;Sábado;0
868;22;6;1997;Domingo;1
1006;23;6;1997;Lunes;0
1053;24;6;1997;Martes;0
1040;25;6;1997;Miércoles;0
1019;26;6;1997;Jueves;0
952;27;6;1997;Viernes;0
938;28;6;1997;Sábado;0
880;29;6;1997;Domingo;1
958;30;6;1997;Lunes;0
1005;1;7;1997;Martes;0
1000;2;7;1997;Miércoles;0
1042;3;7;1997;Jueves;0
1035;4;7;1997;Viernes;0
1023;5;7;1997;Sábado;0
1016;6;7;1997;Domingo;1
1072;7;7;1997;Lunes;0
1004;8;7;1997;Martes;0
977;9;7;1997;Miércoles;0
1010;10;7;1997;Jueves;0
975;11;7;1997;Viernes;0
899;12;7;1997;Sábado;0
884;13;7;1997;Domingo;1
1036;14;7;1997;Lunes;0
1048;15;7;1997;Martes;0
991;16;7;1997;Miércoles;1
919;17;7;1997;Jueves;0
918;18;7;1997;Viernes;0
925;19;7;1997;Sábado;0
813;20;7;1997;Domingo;1
837;21;7;1997;Lunes;0
885;22;7;1997;Martes;0
941;23;7;1997;Miércoles;0
909;24;7;1997;Jueves;0
924;25;7;1997;Viernes;0
913;26;7;1997;Sábado;0
923;27;7;1997;Domingo;1
1017;28;7;1997;Lunes;0
1023;29;7;1997;Martes;0
1092;30;7;1997;Miércoles;0
982;31;7;1997;Jueves;0
972;1;8;1997;Viernes;0
990;2;8;1997;Sábado;0
927;3;8;1997;Domingo;1
945;4;8;1997;Lunes;0
921;5;8;1997;Martes;0
961;6;8;1997;Miércoles;0
940;7;8;1997;Jueves;0
809;8;8;1997;Viernes;0
814;9;8;1997;Sábado;0
781;10;8;1997;Domingo;1
876;11;8;1997;Lunes;0
881;12;8;1997;Martes;0
891;13;8;1997;Miércoles;0
893;14;8;1997;Jueves;0
783;15;8;1997;Viernes;1
834;16;8;1997;Sábado;0
814;17;8;1997;Domingo;1
893;18;8;1997;Lunes;0
931;19;8;1997;Martes;0
923;20;8;1997;Miércoles;0
821;21;8;1997;Jueves;0
890;22;8;1997;Viernes;0
746;23;8;1997;Sábado;0
789;24;8;1997;Domingo;1
883;25;8;1997;Lunes;0
955;26;8;1997;Martes;0
879;27;8;1997;Miércoles;0
903;28;8;1997;Jueves;0
902;29;8;1997;Viernes;0
993;30;8;1997;Sábado;0
903;31;8;1997;Domingo;1
894;1;9;1997;Lunes;0
869;2;9;1997;Martes;0
830;3;9;1997;Miércoles;0
846;4;9;1997;Jueves;0
867;5;9;1997;Viernes;0
853;6;9;1997;Sábado;0
803;7;9;1997;Domingo;1
830;8;9;1997;Lunes;0
791;9;9;1997;Martes;0
805;10;9;1997;Miércoles;0
799;11;9;1997;Jueves;0
833;12;9;1997;Viernes;0
901;13;9;1997;Sábado;0
823;14;9;1997;Domingo;1
878;15;9;1997;Lunes;0
814;16;9;1997;Martes;0
832;17;9;1997;Miércoles;0
673;18;9;1997;Jueves;1
675;19;9;1997;Viernes;1
781;20;9;1997;Sábado;0
668;21;9;1997;Domingo;1
734;22;9;1997;Lunes;0
759;23;9;1997;Martes;0
702;24;9;1997;Miércoles;0
696;25;9;1997;Jueves;0
771;26;9;1997;Viernes;0
781;27;9;1997;Sábado;0
776;28;9;1997;Domingo;1
753;29;9;1997;Lunes;1
839;30;9;1997;Martes;0
842;1;10;1997;Miércoles;0
733;2;10;1997;Jueves;0
650;3;10;1997;Viernes;0
643;4;10;1997;Sábado;0
672;5;10;1997;Domingo;1
732;6;10;1997;Lunes;0
699;7;10;1997;Martes;0
733;8;10;1997;Miércoles;0
710;9;10;1997;Jueves;0
714;10;10;1997;Viernes;0
739;11;10;1997;Sábado;0
581;12;10;1997;Domingo;1
691;13;10;1997;Lunes;0
657;14;10;1997;Martes;0
629;15;10;1997;Miércoles;0
601;16;10;1997;Jueves;0
602;17;10;1997;Viernes;0
599;18;10;1997;Sábado;0
624;19;10;1997;Domingo;1
636;20;10;1997;Lunes;0
729;21;10;1997;Martes;1
804;22;10;1997;Miércoles;0
734;23;10;1997;Jueves;0
744;24;10;1997;Viernes;0
749;25;10;1997;Sábado;0
652;26;10;1997;Domingo;1
677;27;10;1997;Lunes;0
698;28;10;1997;Martes;0
652;29;10;1997;Miércoles;0
694;30;10;1997;Jueves;0
720;31;10;1997;Viernes;1
655;1;11;1997;Sábado;1
591;2;11;1997;Domingo;1
583;3;11;1997;Lunes;0
496;4;11;1997;Martes;0
497;5;11;1997;Miércoles;0
548;6;11;1997;Jueves;1
559;7;11;1997;Viernes;0
611;8;11;1997;Sábado;0
594;9;11;1997;Domingo;1
580;10;11;1997;Lunes;0
650;11;11;1997;Martes;0
628;12;11;1997;Miércoles;0
662;13;11;1997;Jueves;0
662;14;11;1997;Viernes;0
591;15;11;1997;Sábado;0
499;16;11;1997;Domingo;1
521;17;11;1997;Lunes;0
524;18;11;1997;Martes;0
544;19;11;1997;Miércoles;0
567;20;11;1997;Jueves;0
580;21;11;1997;Viernes;0
610;22;11;1997;Sábado;0
560;23;11;1997;Domingo;1
548;24;11;1997;Lunes;0
582;25;11;1997;Martes;0
646;26;11;1997;Miércoles;0
619;27;11;1997;Jueves;0
593;28;11;1997;Viernes;0
500;29;11;1997;Sábado;0
504;30;11;1997;Domingo;1
707;1;12;1997;Lunes;0
643;2;12;1997;Martes;0
629;3;12;1997;Miércoles;0
621;4;12;1997;Jueves;0
549;5;12;1997;Viernes;0
522;6;12;1997;Sábado;0
504;7;12;1997;Domingo;1
497;8;12;1997;Lunes;1
523;9;12;1997;Martes;0
531;10;12;1997;Miércoles;0
551;11;12;1997;Jueves;0
514;12;12;1997;Viernes;0
550;13;12;1997;Sábado;0
584;14;12;1997;Domingo;1
610;15;12;1997;Lunes;0
530;16;12;1997;Martes;0
561;17;12;1997;Miércoles;0
577;18;12;1997;Jueves;1
572;19;12;1997;Viernes;0
571;20;12;1997;Sábado;0
514;21;12;1997;Domingo;1
558;22;12;1997;Lunes;0
502;23;12;1997;Martes;0
538;24;12;1997;Miércoles;0
474;25;12;1997;Jueves;1
627;26;12;1997;Viernes;0
576;27;12;1997;Sábado;0
533;28;12;1997;Domingo;1
546;29;12;1997;Lunes;0
550;30;12;1997;Martes;0
466;31;12;1997;Miércoles;0
381;1;1;1998;Jueves;1
453;2;1;1998;Viernes;0
456;3;1;1998;Sábado;0
418;4;1;1998;Domingo;1
500;5;1;1998;Lunes;0
556;6;1;1998;Martes;0
478;7;1;1998;Miércoles;0
512;8;1;1998;Jueves;0
480;9;1;1998;Viernes;0
469;10;1;1998;Sábado;0
440;11;1;1998;Domingo;1
475;12;1;1998;Lunes;0
440;13;1;1998;Martes;0
507;14;1;1998;Miércoles;0
551;15;1;1998;Jueves;0
494;16;1;1998;Viernes;0
479;17;1;1998;Sábado;0
439;18;1;1998;Domingo;1
467;19;1;1998;Lunes;0
597;20;1;1998;Martes;0
554;21;1;1998;Miércoles;0
542;22;1;1998;Jueves;0
520;23;1;1998;Viernes;0
469;24;1;1998;Sábado;0
432;25;1;1998;Domingo;1
537;26;1;1998;Lunes;0
565;27;1;1998;Martes;0
598;28;1;1998;Miércoles;0
549;29;1;1998;Jueves;0
559;30;1;1998;Viernes;0
553;31;1;1998;Sábado;0
504;1;2;1998;Domingo;1
469;2;2;1998;Lunes;0
423;3;2;1998;Martes;0
449;4;2;1998;Miércoles;0
505;5;2;1998;Jueves;0
564;6;2;1998;Viernes;0
501;7;2;1998;Sábado;0
449;8;2;1998;Domingo;1
463;9;2;1998;Lunes;0
441;10;2;1998;Martes;0
419;11;2;1998;Miércoles;0
452;12;2;1998;Jueves;0
468;13;2;1998;Viernes;0
427;14;2;1998;Sábado;0
367;15;2;1998;Domingo;1
442;16;2;1998;Lunes;0
466;17;2;1998;Martes;0
417;18;2;1998;Miércoles;0
388;19;2;1998;Jueves;0
379;20;2;1998;Viernes;0
369;21;2;1998;Sábado;0
336;22;2;1998;Domingo;1
457;23;2;1998;Lunes;0
445;24;2;1998;Martes;0
555;25;2;1998;Miércoles;0
547;26;2;1998;Jueves;0
524;27;2;1998;Viernes;0
473;28;2;1998;Sábado;0
462;1;3;1998;Domingo;1
529;2;3;1998;Lunes;0
517;3;3;1998;Martes;0
636;4;3;1998;Miércoles;0
640;5;3;1998;Jueves;0
625;6;3;1998;Viernes;0
613;7;3;1998;Sábado;0
